day,domain,count
01,cc,1574679
01,cs,209903
01,slis,171373
01,sec,151323
01,hosp,113069
01,u,110130
01,tulips,101819
01,envr,98976
01,sk,68743
01,s,68283
01,taiiku,64442
01,ims,64090
01,ccs,55891
01,coins,54060
01,un,44445
01,www,43753
01,trios,43265
01,biol,41873
01,utos,39587
01,human,35959
01,cegloc,34676
01,alumni,33558
01,esys,33259
01,bk,32927
01,manaba,30548
01,iit,28212
01,tsa,28200
01,otsuka,27660
01,account,27456
01,jinsha,24899
01,risk,24245
01,twins,23768
01,geijutsu,22807
01,kz,21735
01,criced,20377
01,chem,19645
01,high-s,18508
01,msc,17431
01,math,16504
01,geoenv,16381
01,px,15803
01,stb,15643
01,shimoda,15565
01,kdb,15206
01,pmrc,14185
01,hass,13280
01,t-pirc,12890
01,wpi-iiis,12843
01,deaf-s,12736
01,is,12503
01,tara,12427
01,komaba-s,12311
01,nsfb,12141
01,kiri-s,11721
01,lawschool,11344
01,ecloud,11180
01,geol,10891
01,pas,10606
01,ph,10597
01,sapec,10421
01,dpipe,10276
01,sie,10181
01,cj,9561
01,prc,9482
01,phd-humanics,9085
01,ied,8172
01,life,8164
01,heritage,7986
01,dac,7951
01,klis,7699
01,bres,7692
01,ocw,7505
01,sakado-s,7437
01,ap-graduate,7436
01,tac,6594
01,ac,6265
01,sugadaira,6127
01,elementary-s,6117
01,edu,5967
01,gsbs,5917
01,sanrenhonbu,5908
01,rccp,5742
01,global,5311
01,education,4943
01,lingua,4508
01,nourin,4343
01,informatics,4266
01,intersc,4184
01,neurosci,4133
01,hokekan,3974
01,japan,3871
01,logos,3865
01,geo,3837
01,kansei,3796
01,ilc,3652
01,osi,3607
01,kokusai,3363
01,emp,3270
01,chs,3216
01,tgsw,3208
01,otsuka-s,3086
01,fair,2983
01,kc,2964
01,mast,2946
01,kurihama,2911
01,gene,2869
01,bpgi,2716
01,hibun,2689
01,jp-ex,2667
01,scs,2633
01,utvpn,2625
01,diversity,2500
01,histanth,2482
01,mountain-studies,2454
01,anzenkanri,2415
01,icrhs,2383
01,t-act,2269
01,tomonaga,2268
01,coi-sec,2218
01,tems,2188
01,hcs,2169
01,oiso,2136
01,ut-jinzai-bank,2085
01,tech,2081
01,oyoriko,1907
01,suiri,1859
01,opop,1857
01,gfest,1850
01,atmnb,1819
01,modernlc,1774
01,sse,1721
01,jinbun,1721
01,radd,1719
01,vbl,1709
01,japanese,1653
01,oii,1644
01,ri-center,1607
01,press,1593
01,shakai,1583
01,hbp,1573
01,tias,1532
01,imis,1532
01,nature,1498
01,trems,1458
01,projects,1455
01,scpj,1436
01,ccr,1429
01,skip,1357
01,f-mirai,1318
01,mics,1307
01,kiso,1284
01,soc-int,1266
01,chemistry,1262
01,art,1240
01,person,1160
01,conservation,1152
01,archives,1138
01,inf,1089
01,earth,1087
01,ipp,1065
01,gip,1024
01,centers,1021
01,eme,939
01,butsuri,902
01,koudai,802
01,kyoikusuishin,795
01,hcph,782
01,physics,721
01,rcdh,696
01,souki,690
01,sports,680
01,13,657
01,ide,620
01,rdcpm,616
01,humcul,608
01,kokuren,564
01,geosci,545
01,emc,536
01,nc-bsys,495
01,riryou,478
01,namagaku,453
01,are,447
01,kou-c,439
01,tc,416
01,e-nihongo,397
01,materials,373
01,chiiki,350
01,opera,338
01,cryo,326
01,cybernics,301
01,arena,298
01,ronbun-juri,293
01,corpus,286
01,237,271
01,ryudou,251
01,moodle,249
01,kkss,227
01,glc-net,218
01,rcus,215
01,anpi,209
01,ttft,187
01,sohosai,180
01,engsci,170
01,flang,158
01,tessa,137
01,qils,117
01,md,96
01,ies,95
01,imri,76
01,law,69
01,ole,55
01,241,49
01,sleepymouse,47
01,hq,46
01,fair-meta,39
01,191,38
01,megaquake,35
01,244,29
01,sustain,22
01,ticonfms,19
01,i-sangaku,13
01,entrance-exam,13
01,sipc,10
01,srn,9
01,mcast,9
01,t-anzen,9
01,eprofs,9
01,robotics,8
01,air,1
