period,qtype,count,ratio
2025-04-15,0,30,0.000006
2025-04-15,1,2591791,0.548133
2025-04-15,12,56,0.000012
2025-04-15,13,90,0.000019
2025-04-15,15,264159,0.055866
2025-04-15,16,94183,0.019919
2025-04-15,2,108429,0.022931
2025-04-15,251,10,0.000002
2025-04-15,252,102,0.000022
2025-04-15,255,878,0.000186
2025-04-15,257,152,0.000032
2025-04-15,28,1439584,0.304455
2025-04-15,33,83,0.000018
2025-04-15,35,9,0.000002
2025-04-15,38,55,0.000012
2025-04-15,39,9,0.000002
2025-04-15,43,11245,0.002378
2025-04-15,48,8589,0.001816
2025-04-15,5,10437,0.002207
2025-04-15,6,10614,0.002245
2025-04-15,65,183795,0.038870
2025-04-15,99,4098,0.000867
